"compound_name_user","compound_name_comptox","ptx_code","purpose_analysis","formula","nomination_source","mw_g_mol","cas_neutral","dtxsid_comptox_neutral","inchikey_neutral","smiles_canonical_neutral","smiles_flag","solubility_dmso_mol_liter","source_solubility_dmso","solubility_dmso_10_mmol_liter","solubility_h2o_mol_liter","solubility_h2o_mg_liter","source_solubility_h2o","solubility_h2o_ph74_mol_liter_acd","solubility_h2o_ph74_mg_liter_acd","density_kg_L","source_density","henry_coefficient_atm_m3_mol","kaw_kh_rt","source_henry","stability","medium_air_partition","source_medium_air","storage_conditions","source_storage","moa","source_moa","mie","source_mie","ke_selected","ao","source_ke_ao","logd_ph74_acd","pka_acid","pka_base","neutral_form_ph74","negative_form_ph74","positive_form_ph74","zwitterionic_form_ph74","double_negative_form_ph74","double_positive_form_ph74","source_pka","log_kow_liter_liter_exp","source_kow_exp","log_kow_liter_liter_pred_cons","log_kow_liter_liter_pred_all","source_kow_pred","log_kow_liter_liter_used","source_kow_used","log_klipw_lserd_liter_liter","log_klipw_liter_liter","source_klipw","log_dlipw_ph74_liter_liter","source_dlipw","log_kbsaw_neutral_liter_liter","source_kbsaw","log_kspw_neutral_liter_liter","log_dspw_ph74_liter_liter","baseline_d_rerio_micromole_liter","baseline_d_magna_micromole_liter","baseline_cells_generic_micromole_liter_ec10","baseline_c_elegans_micromole_liter","baseline_x_laevis_micromole_liter","baseline_d_melanogaster_micromole_liter","baseline_max_micromole_liter","c_elegans_lec_size_micromole_liter","c_elegans_ac50_micromole_liter","source_c_elegans","zf_embryo_effect_micromole_liter","zf_endpoint","are_bla_mole_liter_IC10","are_bla_cytotox_mole_liter_ecir15","gr_bla_mole_liter_tox21","gr_bla_cytotox_mole_liter_tox21","cytotox_other_reports","cytotox_other_source","incompatibilities","analytical_method","analysis_limitation","analysis_details","analysis_simple","analysis_source","effect_concentration_expected_micromole_liter","purchased_as","cas_purchased","mw_purchased","amount_ordered_mg_5l","comments","comment_origin","reasons_exclude","solubility_tested_zf_medium_mmole_liter","solubility_tested_zf_medium_mg_liter","solubility_concentration_type","solubility_tested_cellculture_mmole_liter","solubility_test_method","stock_type","ph_adjust","reason_ph_adjust","method_ph_adjust","volume_ph_adjust_approx","buffer_requirement","stability_glass","stability_plastic","stability_method","source_stability","shsy5y_cytotox_ic10_mol_liter","neurite_outgrowth_inhibition_ec10_mol_liter","sr_cytotoxicity_neurite_outgrowth","log_ac10_neuro","log_ac50_neuro","tox21_assay_neurotoxicity_braun_2023","drugbank_name","drugbank_id","drugbank_mechanism_of_action","flag_physchem","type_vials_shipped","amount_shipped_g","form_shipped","source_are","concentration_dmso_stock_mmole_liter"
"Aldosterone","Aldosterone","PTX130","EDC","C21H28O5","NICEATM, JRC, PTX (AT, Watchfrog)","360.45","52-39-1","DTXSID7022419","PQSUYGKTWSAVDQ-ZVIOFETBSA-N","[H][C@@]12CC[C@H](C(=O)CO)[C@]1(C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C)C=O",,,,,"1.41854E-4","5.113127429999999E-5","COMPTOX (OPERA)","0.001174897554939529","4.234918236779532E-4","1.293","COMPTOX",,"5.27287E-11","COMPTOX",,,,,,"Mineral corticosteroid hormone",,"Binding to mineral corticosteroid receptors","https://en.wikipedia.org/wiki/Aldosterone",,,,"0.73",,,"1.0","0.0","0.0","0.0",,,"ACD/GALAS",,,"1.072","0.5, 1.072, 0.725, 1.55172","EPISUITE, ACD/Labs Consensus, ACD/Labs, OPERA (COMPTOX)","1.072",,,"1.2027200000000002","Kow QSAR","1.2027200000000002","klipW (?mw = 1)","1.18112",,,,"10698.113471317822","3417.9806519872245","3482.103596903042","7512.713029803447","5183.671122902676","26887.91459504707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Visual",,,,,,,,,,,,,,,,,"Aldosterone","DB04630",,,,,,,
"Iopanoic acid","Iopanoic acid","PTX131","EDC","C11H12I3NO2","NICEATM, JRC, PTX (AT, Watchfrog)","570.935","96-83-3","DTXSID6023159","OIRFJRBSRORBCM-UHFFFAOYSA-N","CCC(CC1=C(I)C=C(I)C(N)=C1I)C(O)=O",,,,"Out of QSAR applicability domain","2.0951E-4","1.1961659184999999E-4","COMPTOX (OPERA)","0.020892961308540396","0.01192852286469151","2.768","COMPTOX",,"5.08335E-10","COMPTOX",,,,,,"Inhibitors of thyroid hormone release from thyroid gland",,"Inhibition 5'deiodinase enzymes","https://en.wikipedia.org/wiki/Iopanoic_acid","Thyroxine (T4) in serum, decreased",,"https://aopwiki.org/events/281","1.42","4.43","0.62","0.0","1.0","0.0","0.0",,,"ACD/GALAS",,,"3.998","4.187, 5.78, 3.998, 3.59884","ACD/Labs, EPISUITE, ACD/Labs Consensus, OPERA (COMPTOX)","3.998",,,"5.14","LSER","4.14","klipW (?mw = 1)","3.25858",,,,"13.225131530409483","13.341356829031069","46.862517702578316","31.376175101187496","64.75599785392116","452.313968531603",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.13","73.9",,,"Visual","DMSO","/",,,,,,,,,,,,,,,"Iopanoic acid","DB08946",,"Dlipw>4",,,,,"130"
"Dutasteride","Dutasteride","PTX135","EDC","C27H30F6N2O2","NICEATM, JRC, PTX (AT, Watchfrog)","528.539","164656-23-9","DTXSID8046452","JWJOTENAMICLJG-QWBYCMEYSA-N","[H][C@@]12CC[C@H](C(=O)NC3=CC(=CC=C3C(F)(F)F)C(F)(F)F)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C",,,,,"2.98159E-8","1.57588659701E-8","COMPTOX (OPERA)","2.8840315031266057E-8","1.524323126631033E-8","1.36","COMPTOX",,"5.70458E-8","COMPTOX",,,,,,"Anti-androgenic",,"5?-reductase inhibitor","https://en.wikipedia.org/wiki/Dutasteride","Dehydrotestosterone (DHT) level, decrease",,"https://aopwiki.org/events/1613","5.61",,,"1.0","0.0","0.0","0.0",,,"ACD/GALAS",,,"4.994","4.994, 4.99, 5.609, 5.49412","ACD/Labs Consensus, EPISUITE, ACD/Labs, OPERA (COMPTOX)","4.994",,,"5.16394","Kow QSAR","5.163939999999999","klipW (?mw = 1)","3.9657399999999994",,,,"1.2814433155652014","1.9300528441648204","18.587354387353816","4.647384444434893","14.05292990383442","108.88805491415546",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.012","6.55",,,"Visual","DMSO","/",,,,,,,,,,,,,,,"Dutasteride","DB01126","The 5Î±-reductase is a nuclear-bound steroid intracellular enzyme primarily located in the prostatic stromal cell that converts the androgen testosterone into the more active metabolite, 5Î±-dihydrotestosterone (DHT).[A2132] DHT is considered to be the primary androgen playing a role in the initial development and subsequent enlargement of the prostate gland. It serves as the hormonal mediator for the hyperplasia upon accumulation within the prostate gland.[A178270] DHT displays a higher affinity towards androgen receptors in the prostate gland compared to testosterone[T28] and by acting on the androgen receptors, DHT modulates genes that are responsible for cell proliferation.[A178279] Responsible for the synthesis of approximately one-third of circulating DHT, type I 5Î±-reductase is predominant in the sebaceous glands of most regions of skin, including the scalp, and liver. The type II 5a-reductase isozyme is primarily found in the prostate, seminal vesicles, epididymides, and hair follicles as well as liver, and is responsible for two-thirds of circulating DHT.[L10568] Due to its dual inhibition of both isoenzymes of 5Î±-reductase, dutasteride causes a near-complete suppression of DHT.[A178348] Compared to a 70% reduction of serum DHT levels caused by [finasteride], a near-complete suppression of serum DHT-more than 90% is seen with dutasteride.[A178378]

By forming a stable complex with both type II and type II 5Î±-reductase, dutasteride inhibits its enzymatic action of converting testosterone to 5Î±-dihydrotestosterone (DHT), which is the androgen primarily responsible for the initial development and subsequent enlargement of the prostate gland. It is proposed that DHT is the principal androgen responsible for prostatic growth in later life-normal masculinization of the external genitalia and maturation of the prostate gland during development-thus reducing the serum DHT levels results in reduced prostatic volume and increased epithelial apoptosis.[A178375] Dutasteride is a competitive and specific inhibitor of both Type I and Type II 5Î±-reductase isoenzymes and when evaluated under _in vitro_ and _in vivo_ conditions, the dissociation of the drug from the drug-enzyme complex is reported to be extremely slow.[L10568] Dutasteride does not bind to the human androgen receptor.[L10568]","Dlipw>4",,,,,"12"
"Lithium (cation)","Lithium cation","PTX139","Cardiotoxicants","Li","ONTOX","6.94","17341-24-1","DTXSID10169612","HBBGRARXTFLTSG-UHFFFAOYSA-N","[Li+]",,,,"Soluble",,,"COMPTOX (OPERA)",,,,"COMPTOX",,,"COMPTOX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kow QSAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"inorganic: not tested","inorganic: not tested",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naproxen","Naproxen","PTX141","Cardiotoxicants","C14H14O3","ONTOX","230.263","22204-53-1","DTXSID4040686","CMWTZPSULFXXJA-VIFPVBQESA-N","COC1=CC2=CC=C(C=C2C=C1)[C@H](C)C(O)=O",,,,,"5.81763E-5","1.33958493669E-5","COMPTOX (OPERA)","0.1548816618912481","0.03566351611206446","1.212","COMPTOX",,"1.0624E-9","COMPTOX",,,,,,"Inhibition of prostaglandin synthesis",,"COX1 and COX2 inhibition","https://en.wikipedia.org/wiki/Naproxen","Decreased prostaglandin concentration",,,"0.47","4.19",,"0.0","1.0","0.0","0.0",,,"Sirius T3","3.18","PhysPropNCCT (COMPTOX)","2.981","2.981, 3.1, 2.998, 3.18037","ACD/Labs Consensus, EPISUITE, ACD/Labs, OPERA (COMPTOX)","3.18",,,"3.63","LSER","2.17","Henneberger et al. 2019","5.21","Henneberger et al. 2019",,,"1179.5055805840066","550.3006173234572","599.9881417742339","1236.8014906322435","1224.1651170817488","7003.57848665262",,,,,,,"4.11E-04","not active",,,,,,,,,,,,,,,,,,,"need to be tested","need to be tested",,,,,,,,,,,,,,,,,,,,"Naproxen","DB00788","As with other non-selective NSAIDs, naproxen exerts it's clinical effects by blocking COX-1 and COX-2 enzymes leading to decreased prostaglandin synthesis.[A178975] Although both enzymes contribute to prostaglandin production, they have unique functional differences.[A178975] The COX-1 enzymes is constitutively active and can be found in normal tissues such as the stomach lining, while the COX-2 enzyme is inducible and produces prostaglandins that mediate pain, fever and inflammation.[A178990] The COX-2 enzyme mediates the desired antipyretic, analgesic and anti-inflammatory properties offered by Naproxen, while undesired adverse effects such as gastrointestinal upset and renal toxicities are linked to the COX-1 enzyme.[A178990]",,,,,"Neale et al. 2020",
"Sorafenib","Sorafenib","PTX144","Cardiotoxicants","C21H16ClF3N4O3","Toxicol Appl Pharmacol. 2017 May 01; 322: 60–74. doi:10.1016/j.taap.2017.02.020, PTX (CW, KIT)","464.83","284461-73-0","DTXSID7041128","MLDQJTXFUGDVEO-UHFFFAOYSA-N","CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1",,,,"Soluble","2.11209E-6","9.817627946999997E-7","COMPTOX (OPERA)","3.3884415613920274E-7","1.575049290981856E-7","1.49","COMPTOX",,"1.01052E-10","COMPTOX",,,,,,"VEGFR antagonist",,,"Gotink, K. J. & Verheul, H. M. W. 2010. Anti-angiogenic tyrosine kinase inhibitors: what is their mechanism of action? Angiogenesis, 13(1-14.",,,,"5.16",,"2.17","1.0","0.0","0.0","0.0",,,"ACD/GALAS",,,"4.264","5.35796, 4.264, 5.158, 5.3","OPERA, ACD/Labs Consensus, ACD/Labs, EPISUITE (COMPTOX)","4.264",,,"4.426640000000001","Kow QSAR","4.42664","klipW (?mw = 1)","3.44744",,,,"6.880601408412176","7.765245668067936","35.355375433332085","18.383220650983212","42.221852089061535","303.605363815654",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.042","19.6",,,"Visual","DMSO","/",,,,"HEPES 10mM",,,,,,,,,,,"Sorafenib","DB00398","Sorafenib interacts with multiple intracellular (CRAF, BRAF and mutant BRAF) and cell surface kinases (KIT, FLT-3, VEGFR-2, VEGFR-3, and PDGFR-&szlig;). Several of these kinases are thought to be involved in angiogenesis, thus sorafenib reduces blood flow to the tumor. Sorafenib is unique in targeting the Raf/Mek/Erk pathway. By inhibiting these kinases, genetic transcription involving cell proliferation and angiogenesis is inhibited.","Dlipw>4",,,,,"42"
"Clomipramine","Clomipramine","PTX145","Cardiotoxicants","C19H23ClN2","Toxicol Appl Pharmacol. 2017 May 01; 322: 60–74. doi:10.1016/j.taap.2017.02.020, Carsten Weiss (KIT)","314.86","303-49-1","DTXSID6022844","GDLIGKIOYRNHDA-UHFFFAOYSA-N","CN(C)CCCN1C2=CC=CC=C2CCC2=CC=C(Cl)C=C12",,,,"Soluble","2.29722E-5","7.233026892E-6","COMPTOX (OPERA)","4.7863009232263854E-4","1.5070147086870597E-4","1.101","COMPTOX",,"3.96215E-6","COMPTOX",,,,,,,,,,,,,"3.41",,"9.18","0.02","0.0","0.98","0.0",,,"ACD/GALAS","5.19","PhysPropNCCT (COMPTOX)","5.294","5.294, 5.18904, 5.65, 5.395","ACD/Labs Consensus, OPERA, EPISUITE, ACD/Labs (COMPTOX)","5.19",,,"5.35","LSER","4.421882007306124","klipW (?mw = 1)","4.104900000000001",,,,"6.955635458567089","7.835320287742721","35.51565860296902","18.54708123200615","42.52266345867728","305.62105290158286",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.082","26",,,"Visual","DMSO","/",,,,,,,,,,,,,,,"Clomipramine","DB01242","Clomipramine is a strong, but not completely selective serotonin reuptake inhibitor (SRI), as the active main metabolite desmethyclomipramine acts preferably as an inhibitor of noradrenaline reuptake. &alpha;<sub>1</sub>-receptor blockage and &beta;-down-regulation have been noted and most likely play a role in the short term effects of clomipramine. A blockade of sodium-channels and NDMA-receptors might, as with other tricyclics, account for its effect in chronic pain, in particular the neuropathic type.","Dlipw>4",,,,,"82"
"Lenvatinib","Lenvatinib","PTX146","Cardiotoxicants","C21H19ClN4O4","Toxicol Appl Pharmacol. 2017 May 01; 322: 60–74. doi:10.1016/j.taap.2017.02.020, Carsten Weiss (KIT)","426.86","417716-92-8","DTXSID50194605","WOSKHXYHFSIKNG-UHFFFAOYSA-N","COC1=CC2=NC=CC(OC3=CC(Cl)=C(NC(=O)NC4CC4)C=C3)=C2C=C1C(N)=O",,,,"Out of QSAR applicability domain","1.08833E-6","4.6456454380000005E-7","COMPTOX (OPERA)","7.244359600749906E-8","3.0923273391761046E-8","1.46","COMPTOX",,"1.67846E-11","COMPTOX",,,,,,,,"Inhibition of various kinases (including VEGFR)","https://en.wikipedia.org/wiki/Lenvatinib","Hypertension (medical side effect)",,,"3.39",,,"1.0","0.0","0.0","0.0",,,"ACD/GALAS",,,"2.906","3.392, 2.906, 2.27584, 3.11","ACD/Labs, ACD/Labs Consensus, OPERA, EPISUITE (COMPTOX)","2.906",,,"3.05506","Kow QSAR","3.0550599999999997","klipW (?mw = 1)","2.48326",,,,"156.85219477534886","103.4786609121995","164.7232401539296","237.35664791528748","326.829402514104","2045.237561042588",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.073","31.5",,,"Visual","DMSO","/",,,,,,,,,,,,,,,"Lenvatinib","DB09078","Lenvatinib is a receptor tyrosine kinase (RTK) inhibitor that inhibits the kinase activities of vascular endothelial growth factor (VEGF) receptors VEGFR1 (FLT1), VEGFR2 (KDR), and VEGFR3 (FLT4). Lenvatinib also inhibits other RTKs that have been implicated in pathogenic angiogenesis, tumor growth, and cancer progression in addition to their normal cellular functions, including fibroblast growth factor (FGF) receptors FGFR1, 2, 3, and 4; the platelet derived growth factor receptor alpha (PDGFRÎ±), KIT, and RET.",,,,,,"73"
"Nadolol","Nadolol","PTX147","Cardiotoxicants","C17H27NO4","PREDICT_IV","309.406","42200-33-9","DTXSID3023342","VWPOSFSPZNDTMJ-UHFFFAOYSA-N","CC(C)(C)NCC(O)COC1=CC=CC2=C1CC(O)C(O)C2",,,,"Out of QSAR applicability domain","0.043528","0.013467824367999998","COMPTOX (OPERA)","1.3803842646028848","0.42709917377372014","1.115","COMPTOX",,"1.03854E-8","COMPTOX",,,,,,"Beta blocker",,"Inhibition of beta receptors",,,"Decrease in heart rate and blood pressure","https://en.wikipedia.org/wiki/Nadolol","-0.81",,"9.76","0.01","0.0","0.99","0.0",,,"Sirius T3","0.81","PhysPropNCCT (COMPTOX)","1.239","0.810236, 1.288, 1.239","OPERA, ACD/Labs, ACD/Labs Consensus (COMPTOX)","0.81",,,"0.1","LSER","-0.8625735020593762","Kow QSAR (?mw = 1)","1.31","fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)",,,"1621810.09735893","218776.16239495523","1238472.3685674146","457088.1896148752","138675.58288718885","575439.937337157",,,,,,,"no cytotoxicity","not active",,,,,,,,,,,,,,,,,,,"need to be tested","need to be tested",,,,,,,,,,,,,,,,,,,,"Nadolol","DB01203","Although nadolol is described as a non selective beta blocker, it does not interact with beta 3 adrenal receptors.[A182402] Antagonism of beta-1 and beta-2 adrenoceptors in the heart inhibits cyclic AMP and its signalling pathway, decreasing the strength and speed of contractions as well as the speed of relaxation and conduction.[A34177] Antagonism of beta-2 adrenoceptors in the smooth muscle cells of the vasculature inhibits their relaxation, leading to an increase in peripheral vascular resistance and reducing the risk of severe hypotension.[A34177] The increase in peripheral vascular resistance may contribute to the decrease in insulin sensitivity associated with nadolol use.[A182441] Antagonism of beta-1 adrenoceptors in the juxtaglomerular apparatus of the kidney inhibits the release of renin, and therefore angiotensin II mediated vasoconstriction, aldosterone mediated water retention, and the release of epinephrine.[A34177] Antagonism of beta-2 adrenoceptors in the liver and skeletal muscle inhibits glycogenolysis, in the lungs prevents bronchodilation, and in the pancrease inhibits insulin release.[A34177]",,,,,"Tox21",
"Droperidol","Droperidol","PTX151","Cardiotoxicants","C22H22FN3O2","Toxicol Appl Pharmacol. 2017 May 01; 322: 60–74. doi:10.1016/j.taap.2017.02.020, Carsten Weiss (KIT)","379.435","548-73-2","DTXSID6022973","RMEDXOLNCUSCGS-UHFFFAOYSA-N","FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12",,,,"Soluble","2.10089E-5","7.9715119715E-6","COMPTOX (OPERA)","5.7543993733715664E-5","2.18342052623524E-5","1.314","COMPTOX",,"1.76191E-10","COMPTOX",,,,,,"Antidopaminergic drug","https://en.wikipedia.org/wiki/Droperidol",,,,,,"3.11","12.49","8.01","0.2","0.0","0.8","0.0",,,"ACD/GALAS","3.5","PhysPropNCCT (COMPTOX)","3.739","3.739, 3.512, 3.46, 3.49341","ACD/Labs Consensus, ACD/Labs, EPISUITE, OPERA (COMPTOX)","3.5",,,"3.6550000000000002","Kow QSAR","3.1021580313422192","klipW (?mw = 1)","2.905",,,,"140.88460833785456","94.67393192994979","154.89630488484477","217.39622307280828","304.6502898735987","1915.563481741073",,,,,,,,,,,,,,,,,,,,,,,,,,,"need to be tested","need to be tested",,,,,,,,,,,,,,,,,,,,"Droperidol","DB00450","The exact mechanism of action is unknown, however, droperidol causes a CNS depression at subcortical levels of the brain, midbrain, and brainstem reticular formation. It may antagonize the actions of glutamic acid within the extrapyramidal system. It may also inhibit cathecolamine receptors and the reuptake of neurotransmiters and has strong central antidopaminergic action and weak central anticholinergic action. It can also produce ganglionic blockade and reduced affective response. The main actions seem to stem from its potent Dopamine(2) receptor antagonism with minor antagonistic effects on alpha-1 adrenergic receptors as well.",,,,,,
"Hydroxyzine","Hydroxyzine","PTX153","Cardiotoxicants","C21H27ClN2O2","Toxicol Appl Pharmacol. 2017 May 01; 322: 60–74. doi:10.1016/j.taap.2017.02.020, Carsten Weiss (KIT)","374.91","68-88-2","DTXSID8023137","ZQDWXGKKHFNSQK-UHFFFAOYSA-N","OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1",,,,"Soluble","2.31756E-5","8.688764196E-6","COMPTOX (OPERA)","0.012882495516931342","0.0048297763942527295","1.169","COMPTOX",,"4.9077E-9","COMPTOX",,,,,,"Histamine H1 receptor antagonism",,"5HT 2A receptor binding (also binds to other receptors)","https://en.wikipedia.org/wiki/Hydroxyzine"," 	Decrease, histaminergic neuron excitation",,"https://aopwiki.org/aops/99","1.95","14.85",,"0.69","0.0","0.31","0.0",,,"ACD/GALAS",,,"2.732","2.36, 2.028, 2.732, 2.98747","EPISUITE, ACD/Labs, ACD/Labs Consensus, OPERA (COMPTOX)","2.732",,,"3.31","LSER","3.1679352647194285","klipW (?mw = 1)","2.3597200000000003",,,,"121.26740603918887","83.6167113897377","142.3068866581862","192.29696752497964","276.17092112300526","1748.103330007543",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.55","207.1",,,"Visual","DMSO","/",,,,"HEPES 10mM",,,,,,,,,,,"Hydroxyzine","DB00557","The H<sub>1</sub> histamine receptor is responsible for mediating hypersensitivity and allergic reactions. Exposure to an allergen results in degranulation of mast cells and basophils, which then release histamine and other inflammatory mediators. Histamine binds to, and activates, H<sub>1</sub> receptors, which results in the further release of pro-inflammatory cytokines, such as interleukins, from basophils and mast cells. These downstream effects of histamine binding are responsible for a wide variety of allergic symptoms, such as pruritus, rhinorrhea, and watery eyes.[A1495]

Hydroxyzine is a potent inverse agonist of histamine H<sub>1</sub>-receptors[A1257] - inverse agonists are agents that are considered to have a negative efficacy, so rather than simply blocking activity at a receptor they actively dampen its activity.[T707] Inverse agonism at these receptors is responsible for hydroxyzine's efficacy in the treatment of histaminic edema, flare, and pruritus.

Hydroxyzine is not a cortical depressant, so its sedative properties likely occur at the subcortical level of the CNS.[L9677] These sedative properties allow activity as an anxiolytic. Antiemetic efficacy is likely secondary to activity at off-targets.[A189753]",,,,,,"550"
"Dasatinib monohydrate","Dasatinib","PTX156","Cardiotoxicants","C22H26ClN7O2S","Toxicol Appl Pharmacol. 2017 May 01; 322: 60–74. doi:10.1016/j.taap.2017.02.020, Carsten Weiss (KIT)","488.01","302962-49-8","DTXSID4040979","ZBNZXTGUTAYRHI-UHFFFAOYSA-N","CC1=NC(=CC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=N1)N1CCN(CCO)CC1",,,,"Insoluble","1.07484E-4","5.245326684E-5","COMPTOX (OPERA)","3.235936569296281E-5","1.579169405182278E-5","1.441","COMPTOX",,"8.53143E-11","COMPTOX",,,,,,"Tyrosine kinase inhibitor",,"Binding to BCR-ABL1","https://en.wikipedia.org/wiki/Dasatinib",,,,"1.83",,,"0.33","0.0","0.67","0.0",,,"ACD/GALAS",,,"2.586","2.245, 1.1, 2.97862, 2.586","ACD/Labs, EPISUITE, OPERA, ACD/Labs Consensus (COMPTOX)","2.586",,,"2.73186","Kow QSAR","2.330650506763115","klipW (?mw = 1)","2.2560599999999997",,,,"817.8167444506965","406.31848868811403","464.88383355495404","916.5857256483541","963.2487888420266","5601.277561637262",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.048","23.7",,,"Visual","DMSO","/","/",,,,,,,,,,,,,,"Dasatinib","DB01254","Dasatinib, at nanomolar concentrations, inhibits the following kinases: BCR-ABL, SRC family (SRC, LCK, YES, FYN), c-KIT, EPHA2, and PDGFR&beta;. Based on modeling studies, dasatinib is predicted to bind to multiple conformations of the ABL kinase. In vitro, dasatinib was active in leukemic cell lines representing variants of imatinib mesylate sensitive and resistant disease. Dasatinib inhibited the growth of chronic myeloid leukemia (CML) and acute lymphoblastic leukemia (ALL) cell lines overexpressing BCR-ABL. Under the conditions of the assays, dasatinib was able to overcome imatinib resistance resulting from BCR-ABL kinase domain mutations, activation of alternate signaling pathways involving the SRC family kinases (LYN, HCK), and multi-drug resistance gene overexpression.",,,,,,"48"
"Fluconazole","Fluconazole","PTX157","Cardiotoxicants","C13H12F2N6O","Toxicol Appl Pharmacol. 2017 May 01; 322: 60–74. doi:10.1016/j.taap.2017.02.020, Carsten Weiss (KIT)","306.277","86386-73-4","DTXSID3020627","RFHAOTPXVQNOHP-UHFFFAOYSA-N","OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1",,,,"Soluble","0.0158043","0.004840493591099999","COMPTOX (OPERA)","7.413102413009177E-4","2.2704627677492119E-4","1.444","COMPTOX",,"7.66143E-9","COMPTOX",,,,,," Inhibits the fungal cytochrome P450 enzyme 14?-demethylase",,"Inhibition of CYP2B19 (in humans)","https://en.wikipedia.org/wiki/Fluconazole",,,,"0.5","14.52",,"1.0","0.0","0.0","0.0",,,"ACD pKa/GALAS","0.5","PhysPropNCCT (COMPTOX)","0.698","0.25, 0.698, 0.501414, 0.5","EPISUITE, ACD/Labs Consensus, OPERA, ACD/Labs (COMPTOX)","0.5",,,"1.02","LSER","1.02","Kow QSAR (?mw = 1)","1.31","fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)",,,"16225.571405095394","4826.140932685212","5090.103503359146","10563.309388106873","6808.320627564098","34667.298504668994",,,,,,,"no cytotoxicity","not active",,,,,,,,,,,,,,,,,,,"4.57","1400",,,"Visual","Water","/","/",,,,,,,,,,,,,,"Fluconazole","DB00196","Fluconazole is a very selective inhibitor of fungal cytochrome P450 dependent enzyme _lanosterol 14-Î±-demethylase_. This enzyme normally works to convert _lanosterol_ to _ergosterol_, which is necessary for fungal cell wall synthesis.  The free nitrogen atom located on the azole ring of fluconazole binds with a single iron atom located in the heme group of lanosterol 14-Î±-demethylase.[A178774] This prevents oxygen activation and, as a result, inhibits the demethylation of lanosterol, halting the process of ergosterol biosynthesis.[A178777]  Methylated sterols are then found to accumulate in the fungal cellular membrane, leading to an arrest of fungal growth.[A178774] These accumulated sterols negatively affect the structure and function of the fungal cell plasma membrane.[A16632]

Fluconazole resistance may arise from an alteration in the amount or function of the target enzyme (lanosterol 14-Î±-demethylase), altered access to this enzyme, or a combination of the above.[A16632] Other mechanisms may also be implicated, and studies are ongoing.[A178783]",,,,,"Tox21",
